pair_id,location,rough_share_abs,which_min_wins,actual_error,adapt_predicted_sigma,expB_predicted_sigma,adapt_err_pp,expB_err_pp,diff_pp,contrib_gamma_roughness,z_A,z_B,x_rough,abs_total_contrib
2017PA006__2012WM006,Malarberget,0.21225825654744548,z_B,0.0038705522281653,0.0231365518351185,0.0204090184110238,1.9265999606953201,1.65384661828585,0.27275334240947013,0.1839042008078471,1.9246456157549905,0.5302892165572902,0.5302892165572902,0.8664171834782762
2023PA025__2021PA007,Pyrzyce III,0.18737010269176174,z_A,0.0375056148919542,0.028700839428084,0.0281143792398808,-0.8804775463870197,-0.9391235652073396,0.05864601882032,0.0844479069829925,0.2435062072383243,0.4998134816017346,0.2435062072383243,0.4507010764781178
2021PA007__2023PA025,Pyrzyce III,0.18396697912151058,z_A,0.0361222651810596,0.0286873807049667,0.0282784858287361,-0.7434884476092897,-0.7843779352323499,0.04088948762306019,0.0821868336493963,0.2369863844100024,0.5176639779784229,0.2369863844100024,0.4467477481114245
2024PA070__2024PA028,Bielice,0.17452428182486504,z_B,0.0105698599407985,0.0151669214994985,0.0152268178842494,0.4597061558699999,0.4656957943450899,-0.00598963847508998,-0.1494512443018891,0.0694642124979056,-0.4309438441657353,-0.4309438441657353,0.8563349623284129
2024PA028__2024PA070,Bielice,0.17396222023475508,z_B,0.0104269213546506,0.015164764370298,0.0152245860601336,0.47378430156474005,0.4797664705483,-0.005982168983559993,-0.1489959198501459,0.0791291467471647,-0.4296309125103756,-0.4296309125103756,0.8564843541838099
2022PA017__2023PA062,Doringbaai,0.12534023699880353,z_B,0.0798183680218268,0.0589401828262824,0.0563821171847519,-2.0878185195544408,-2.343625083707491,0.25580656415305003,-0.1014538671813717,0.283448104841253,-0.2925430278807495,-0.2925430278807495,0.8094277592784522
2024PA024__2023PA032,Pelczyce,0.10179088867407014,z_B,0.0443992511241345,0.0202867244448963,0.0177245108889901,-2.4112526679238204,-2.66747402351444,0.25622135559062004,-0.0793287568371183,0.022248253311657,-0.2287450973323512,-0.2287450973323512,0.7793306244837436
2023PA032__2024PA024,Pelczyce,0.10150140042522296,z_B,0.0428185255238148,0.0202255252228319,0.0176790791427083,-2.25930003009829,-2.51394463811065,0.25464460801235994,-0.0793941717111661,0.0676890435248633,-0.228933721638689,-0.228933721638689,0.7821977960753018
2020PA011__2019PA023,Herzhausen,0.08211188990321622,z_A,0.1799701962453477,0.2636250736322718,0.2690897517850147,8.365487738692407,8.911955553966699,-0.546467815274293,0.1738653860514686,0.5013422148632616,1.0681321221473188,0.5013422148632616,2.117420342612995
2016WM019__2015WM014,Courcelles-sous,0.0707690439842396,z_A,0.0078955382900578,0.0351148150672011,0.0395907736624519,2.72192767771433,3.16952353723941,-0.4475958595250802,-0.0511532423305344,-0.1475007785611543,0.3997362559577938,-0.1475007785611543,0.7228194624464098
2023PA038__2022PA005,Trzcinsko Zdroj,0.06549316079074313,z_A,0.0300437232164268,0.0183429628210689,0.0214599001238494,-1.17007603953579,-0.8583823092577402,-0.31169373027804986,0.0412651089074712,0.118988267682684,0.8301461868747536,0.118988267682684,0.6300674514598118
2015WM014__2016WM019,Courcelles-sous,0.06540312037095389,z_A,0.0080703573726523,0.0352525717285539,0.0394758669537718,2.71822143559016,3.1405509581119504,-0.4223295225217902,-0.0470184501019459,-0.135578072489767,0.3896992366741125,-0.135578072489767,0.7189022455697269
2019PA023__2020PA011,Herzhausen,0.0591109300056562,z_A,0.1640412405934514,0.1879294063662101,0.206420192381839,2.388816577275871,4.237895178838761,-1.8490786015628897,0.1072373211608115,0.3092196631412826,1.0837012476075616,0.3092196631412826,1.814170765889662
2023PA004__2023PA003,Sundern,0.05809451227132974,z_B,0.0343053255742524,0.0380428783743729,0.037190029043865,0.3737552800120503,0.2884703469612601,0.08528493305079016,0.0521912995105131,0.7624687454139978,0.1504940246441392,0.1504940246441392,0.8983860517970139
2023PA003__2023PA004,Sundern,0.05716686739316859,z_B,0.0351309239804123,0.0379525152090859,0.037114129878,0.2821591228673599,0.19832058975877004,0.08383853310858988,0.0513767449732509,0.7876092140410229,0.1481452501979303,0.1481452501979303,0.8987154153454697
2021PA009__2023PA004,Sundern,0.049733962544806894,z_B,0.0439623939155673,0.0430762753171732,0.0413171993886948,-0.08861185983940964,-0.2645194526872501,0.1759075928478404,0.0387594762328559,0.7819553970969599,0.1117632560616041,0.1117632560616041,0.7793361769220836
2023PA062__2022PA017,Doringbaai,0.04456777768013417,z_B,0.087386610505188,0.0682477116966626,0.0634196514191259,-1.91388988085254,-2.396695908606211,0.4828060277536711,0.0329066467781981,0.5088666524793696,0.0948865760699555,0.0948865760699555,0.7383506311302134
2014WM002__2012WM012,Mikolajki Pomorskie,0.039726045386443344,z_A,0.0153598823551404,0.0270755391652597,0.0385269968026226,1.1715656810119301,2.3167114447482198,-1.14514576373629,0.0200458838491908,0.0578024645162551,1.3088069263861717,0.0578024645162551,0.5046030546003336
2012WM012__2014WM002,Mikolajki Pomorskie,0.02669066024732086,z_A,0.0179415595772781,0.0268246044523547,0.0377407918109867,0.8883044875076601,1.9799232233708597,-1.0916187358631997,0.0133655314287056,0.0385396155121308,1.2488417531513456,0.0385396155121308,0.5007568679402451
2022PA005__2023PA038,Trzcinsko Zdroj,0.017832253627408416,z_A,0.0288801409314987,0.0176177455141103,0.0212806165079436,-1.12623954173884,-0.7599524423555101,-0.36628709938332993,-0.0105765372501436,-0.0304975287548099,0.7704176359105224,-0.0304975287548099,0.5931127647201764
2023PA004__2021PA009,Sundern,0.015603278114737815,z_B,0.0425880062257365,0.0404135686344559,0.0392175116463706,-0.21744375912805952,-0.3370494579365897,0.1196056988085302,-0.0115854219835971,0.8701359497425452,-0.0334066558576685,-0.0334066558576685,0.7424992298672344
2024PA013__2024PA094,Balverwald,0.01032024264055721,z_B,0.0999605924019551,0.0672557923655948,0.0602171620782765,-3.2704800036360298,-3.9743430323678592,0.7038630287318298,0.0088844391881117,0.0749889118899489,0.0256183506190667,0.0256183506190667,0.860875029546012
2019PA024__2019PA023,Herzhausen,0.004843550826594834,z_A,0.1478471081778485,0.1566288586324397,0.2103196806237166,0.8781750454591203,6.24725724458681,-5.369082199127689,0.0075025060828029,0.0216335355874921,1.1582715321598511,0.0216335355874921,1.5489681746722568
2019PA023__2019PA024,Herzhausen,0.0028347908003709277,z_A,0.1355354758864165,0.1378689522261628,0.1990426463240768,0.23334763397462877,6.35071704376603,-6.117369409791401,-0.0040605780618849,-0.0117087089351293,1.383004502843894,-0.0117087089351293,1.4324083672606742
2024PA094__2024PA013,Balverwald,0.0017492167657980875,z_B,0.1170627652025013,0.0651072282185975,0.0585728504712074,-5.1955536983903805,-5.848991473129391,0.6534377747390102,0.0014440723426845,0.0574806927065671,0.0041639940136786,0.0041639940136786,0.8255536826081333
